company_id,company_name,domain,website_url,phone_raw,phone_e164,phone_valid,phone_type,city,state,country,categories,source_tags,rating,review_count,emails_found,primary_email,enrichment_industry,enrichment_employee_count,enrichment_linkedin_url,ai_outreach_line,lead_score,ai_email_pattern
6d7254a79a81d40e,Delta Cloud,phiintegrations.com,https://phiintegrations.com,(542) 619-8492,,False,unknown,Chicago,NY,USA,"['B2B', 'SaaS']",['gmaps'],,,"[{'email': 'info0@phiintegrations.com', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}}, {'email': 'info1@phiintegrations.com', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}}]",info0@phiintegrations.com,Software,110.0,https://www.linkedin.com/company/phiintegrations,Loved how Delta Cloud presents their product—quick question about boosting demo conversions.,80,
6d9b26c1385d7760,Upsilon Ops,gammasoftware.com,https://gammasoftware.com,(829) 275-7555,+18292757555,True,mobile,Austin,NY,USA,"['B2B', 'SaaS']",['gmaps'],,,[],,Software,35.0,https://www.linkedin.com/company/gammasoftware,Loved how Upsilon Ops presents their product—quick question about boosting demo conversions.,50,first.last@gammasoftware.com
f9db79cd68a7f82d,Mu Metrics,piplatform.com,https://piplatform.com,(684) 885-8095,,False,unknown,New York,,USA,"['B2B', 'SaaS']",['gmaps'],5.0,412.0,[],,Software,85.0,https://www.linkedin.com/company/piplatform,Loved how Mu Metrics presents their product—quick question about boosting demo conversions.,50,first.last@piplatform.com
1132f679f5a0b9d0,Omega Saas,acmecrm.com,https://acmecrm.com,(330) 684-4702,+13306844702,True,mobile,Seattle,,USA,"['B2B', 'SaaS']",['yelp'],3.5,283.0,"[{'email': 'info0@acmecrm.com', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}}, {'email': 'info1@acmecrm.com', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'high'}}, {'email': 'info2@acmecrm.com', 'source': 'contact_page_extractor', 'validation': {'is_valid': False, 'is_disposable': False, 'mx_found': False, 'deliverability': 'unknown'}}, {'email': 'bad-email-at-acmecrm.com', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}}]",info1@acmecrm.com,Software,60.0,https://www.linkedin.com/company/acmecrm,Loved how Omega Saas presents their product—quick question about boosting demo conversions.,90,
9e924840de562b39,Xi Services,psigrowth.io,https://psigrowth.io,,,,,,,USA,"['B2B', 'SaaS']",['gmaps'],4.0,192.0,"[{'email': 'info0@psigrowth.io', 'source': 'contact_page_extractor', 'validation': {'is_valid': False, 'is_disposable': False, 'mx_found': False, 'deliverability': 'unknown'}}, {'email': 'info1@psigrowth.io', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': True, 'mx_found': True, 'deliverability': 'low'}}, {'email': 'info2@psigrowth.io', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'high'}}]",info2@psigrowth.io,Software,60.0,https://www.linkedin.com/company/psigrowth,Loved how Xi Services presents their product—quick question about boosting demo conversions.,80,
1dd864da5c0dd988,Delta Cloud,deltacloud.co,https://deltacloud.co,(335) 698-1271,,False,unknown,Austin,IL,USA,"['B2B', 'SaaS']",['gmaps'],4.0,43.0,[],,,,,Loved how Delta Cloud presents their product—quick question about boosting demo conversions.,20,first.last@deltacloud.co
64b94de505caeb38,Chi Engine,betaanalytics.io,https://betaanalytics.io,,,,,Chicago,CA,USA,"['B2B', 'SaaS']",['gmaps'],3.2,50.0,"[{'email': 'info0@betaanalytics.io', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'high'}}, {'email': 'bad-email-at-betaanalytics.io', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}}]",info0@betaanalytics.io,Software,85.0,https://www.linkedin.com/company/betaanalytics,Loved how Chi Engine presents their product—quick question about boosting demo conversions.,80,
43834c4c31b5130e,Rho Solutions,etasystems.com,,(525) 472-7837,+15254727837,True,unknown,Austin,,USA,"['B2B', 'SaaS']",['gmaps'],3.3,134.0,"[{'email': 'info0@etasystems.com', 'source': 'contact_page_extractor', 'validation': {'is_valid': False, 'is_disposable': False, 'mx_found': False, 'deliverability': 'unknown'}}]",info0@etasystems.com,Software,35.0,https://www.linkedin.com/company/etasystems,Loved how Rho Solutions presents their product—quick question about boosting demo conversions.,70,
848444aa59152ea7,Beta Analytics,omegasass.com,https://omegasass.com,(538) 744-8705,,False,unknown,Seattle,IL,USA,"['B2B', 'SaaS']",['gmaps'],3.2,373.0,"[{'email': 'info0@omegasass.com', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'high'}}, {'email': 'info1@omegasass.com', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'high'}}]",info0@omegasass.com,Software,60.0,https://www.linkedin.com/company/omegasass,Loved how Beta Analytics presents their product—quick question about boosting demo conversions.,80,
388ee0f9b54a66b4,Rho Solutions,mumetrics.io,https://mumetrics.io,(931) 965-4626,+19319654626,True,mobile,Chicago,NY,USA,"['B2B', 'SaaS']",['gmaps'],,,"[{'email': 'info0@mumetrics.io', 'source': 'contact_page_extractor', 'validation': {'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'high'}}]",info0@mumetrics.io,,,,Loved how Rho Solutions presents their product—quick question about boosting demo conversions.,70,
