company_id,email,source,validation
12570ca748457d5b,hello@dependableroofing.com,hunter,"{'is_valid': False, 'is_disposable': False, 'mx_found': False, 'deliverability': 'unknown'}"
12570ca748457d5b,sales@dependableroofing.com,hunter,"{'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'high'}"
d4fbe57db3c21136,hello@preferredroofing.co,hunter,"{'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}"
d4fbe57db3c21136,sales@preferredroofing.co,hunter,"{'is_valid': True, 'is_disposable': True, 'mx_found': True, 'deliverability': 'low'}"
d4fbe57db3c21136,jane.doe@preferredroofing.co,hunter,"{'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'high'}"
72bf08e1ed5f3837,hello@firstchoiceroofing.com,hunter,"{'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}"
72bf08e1ed5f3837,sales@firstchoiceroofing.com,hunter,"{'is_valid': False, 'is_disposable': False, 'mx_found': False, 'deliverability': 'unknown'}"
78fe4fe17ac8db5b,hello@superiorroofing.com,hunter,"{'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'high'}"
0863e71c60fd66bb,hello@masterroofing.co,hunter,"{'is_valid': True, 'is_disposable': True, 'mx_found': True, 'deliverability': 'low'}"
697ffc7a41200fee,hello@expertroofing.com,hunter,"{'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}"
5d5f3d93fc5c2b42,hello@roofingexperts.net,hunter,"{'is_valid': True, 'is_disposable': True, 'mx_found': True, 'deliverability': 'low'}"
5d5f3d93fc5c2b42,sales@roofingexperts.net,hunter,"{'is_valid': False, 'is_disposable': False, 'mx_found': False, 'deliverability': 'unknown'}"
5d5f3d93fc5c2b42,jane.doe@roofingexperts.net,hunter,"{'is_valid': True, 'is_disposable': True, 'mx_found': True, 'deliverability': 'low'}"
b92d8a70132490e5,hello@reliableroofing.com,hunter,"{'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}"
b92d8a70132490e5,sales@reliableroofing.com,hunter,"{'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'high'}"
e2e26f974cb51c3f,hello@strongroofing.co,hunter,"{'is_valid': True, 'is_disposable': True, 'mx_found': True, 'deliverability': 'low'}"
e2e26f974cb51c3f,sales@strongroofing.co,hunter,"{'is_valid': False, 'is_disposable': False, 'mx_found': False, 'deliverability': 'unknown'}"
e2e26f974cb51c3f,jane.doe@strongroofing.co,hunter,"{'is_valid': True, 'is_disposable': True, 'mx_found': True, 'deliverability': 'low'}"
5c5a72fdb6f60cce,hello@trustedroofing.co,hunter,"{'is_valid': False, 'is_disposable': False, 'mx_found': False, 'deliverability': 'unknown'}"
5c5a72fdb6f60cce,sales@trustedroofing.co,hunter,"{'is_valid': True, 'is_disposable': True, 'mx_found': True, 'deliverability': 'low'}"
5c5a72fdb6f60cce,jane.doe@trustedroofing.co,hunter,"{'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}"
9b1ee5394a104631,hello@eliteroofing.com,hunter,"{'is_valid': True, 'is_disposable': False, 'mx_found': True, 'deliverability': 'medium'}"
