company_id,email,source
12570ca748457d5b,hello@dependableroofing.com,hunter
12570ca748457d5b,sales@dependableroofing.com,hunter
d4fbe57db3c21136,hello@preferredroofing.co,hunter
d4fbe57db3c21136,sales@preferredroofing.co,hunter
d4fbe57db3c21136,jane.doe@preferredroofing.co,hunter
72bf08e1ed5f3837,hello@firstchoiceroofing.com,hunter
72bf08e1ed5f3837,sales@firstchoiceroofing.com,hunter
78fe4fe17ac8db5b,hello@superiorroofing.com,hunter
0863e71c60fd66bb,hello@masterroofing.co,hunter
697ffc7a41200fee,hello@expertroofing.com,hunter
5d5f3d93fc5c2b42,hello@roofingexperts.net,hunter
5d5f3d93fc5c2b42,sales@roofingexperts.net,hunter
5d5f3d93fc5c2b42,jane.doe@roofingexperts.net,hunter
b92d8a70132490e5,hello@reliableroofing.com,hunter
b92d8a70132490e5,sales@reliableroofing.com,hunter
e2e26f974cb51c3f,hello@strongroofing.co,hunter
e2e26f974cb51c3f,sales@strongroofing.co,hunter
e2e26f974cb51c3f,jane.doe@strongroofing.co,hunter
5c5a72fdb6f60cce,hello@trustedroofing.co,hunter
5c5a72fdb6f60cce,sales@trustedroofing.co,hunter
5c5a72fdb6f60cce,jane.doe@trustedroofing.co,hunter
